beruf,isco_code,beschaeftigte_1000,frauen_pct,branche,lohn_median_chf,qualifikation,esco_uri,esco_titel,esco_beschreibung,score_gesamt,score_digital,score_wiederholbarkeit,score_physisch,score_kreativitaet,score_sozial,haupt_risiko,zeitrahmen,begruendung,delta_branche,delta_lohn,score_ch,adaptabilitaet,beschreibung_hash,lohnklasse
Sekretariatsleiter,3341,18.1,54.8,Finanzen,82000,Sekundär II,http://data.europa.eu/esco/occupation/6e6839b6-099c-4802-906e-7f2c8203ee69,Büroleiter/Büroleiterin,"Büroleiter beaufsichtigen die Tätigkeiten, mit denen Büroangestellte in Organisationen oder Vereinigungen verschiedener Art betraut werden. Sie leisten Mikromanagement und beaufsichtigen kleinteilige Verwaltungsaufgaben, d. h., sie kontrollieren den Schriftverkehr, gestalten Ablagesysteme, prüfen und genehmigen Bestellungen und übernehmen die Zuweisung und Kontrolle von Arbeitsaufgaben im Büro. Je nach Größe des Unternehmens unterstehen sie Managern innerhalb derselben Abteilung oder den Führungskräften des Gesamtunternehmens.",6.2,8.0,7.0,6.0,5.5,4.0,"Automatisierung des Schriftverkehrs (E-Mail-Triage, Dokumentenmanagement), digitale Ablagesysteme (SharePoint, AI-gestützte Klassifikation), Bestellgenehmigungen und Aufgabenzuweisung via KI-Workflow-Tools sowie automatisierte Fortschrittskontrolle von Büroaufgaben.",3-5 Jahre,"In der Schweiz, wo Effizienz und Digitalisierung im Bürobereich rasch voranschreiten, werden Kernaufgaben wie Schriftverkehrskontrolle, Ablageorganisation und Bestellmanagement zunehmend durch KI-gestützte Plattformen (z.B. Microsoft 365 Copilot) übernommen. Die Führungs- und Koordinationsrolle des Sekretariatsleiters – insbesondere die menschliche Aufsicht über Mitarbeitende und die situative Entscheidungsfindung – bietet jedoch noch einen mittelfristigen Schutz vor vollständiger Automatisierung. Der Beruf wird sich eher transformieren als verschwinden, mit stärkerem Fokus auf strategische Koordination statt operativem Mikromanagement.",0.3,0.0,6.5,5.8,87c52e7652e9,60k–100k CHF
Führungskräfte in Restaurants,1412,18.0,49.4,Gastgewerbe,75000,Tertiär,http://data.europa.eu/esco/occupation/a2ff6cc3-15fa-4f02-a457-8fd5df7aa29e,Führungskraft für intermodale Logistik,Führungskräfte für intermodale Logistik verwalten und beaufsichtigen gewerbliche und betriebliche Aspekte der intermodalen Logistik für ein Unternehmen.,4.2,5.5,4.0,3.5,4.5,3.0,"Dienstplanoptimierung, Bestandsmanagement, Umsatzprognosen und administrative Berichterstattung könnten durch KI-Systeme teilweise übernommen werden",5-10 Jahre,"Führungskräfte in Restaurants übernehmen eine Mischung aus operativen, sozialen und strategischen Aufgaben – Teamführung, Gästebetreuung und situatives Krisenmanagement sind schwer automatisierbar. In der Schweiz, wo Servicequalität und mehrsprachige Kundenkommunikation hochwertig erwartet werden, bleibt menschliche Führungskompetenz zentral. Teilbereiche wie Kassensysteme, Lagerverwaltung und Bestellautomatisierung werden jedoch zunehmend durch digitale Tools unterstützt, was den Verwaltungsaufwand reduziert, aber die Kernführungsrolle nicht ersetzt.",0.0,0.0,4.2,6.1,19ef6b933486,60k–100k CHF
Servicemitarbeiter/in,5131,18.0,58.0,Gastgewerbe,48000,Sekundär II,http://data.europa.eu/esco/occupation/9653fb92-ad48-4865-a471-f270302fa93b,Reiseberater der Bahn/Reiseberaterin der Bahn,"Reiseberater der Bahn kümmern sich um Kunden am Bahnhof, beantworten ihre Fragen und reagieren schnell und sicher auf unerwartete Situationen. Sie erteilen Auskünfte, leisten Mobilitätshilfe und sorgen für Sicherheit in Bahnhöfen. Sie geben präzise und aktuelle Auskünfte über Ankunfts- und Abfahrtszeiten sowie Zugverbindungen und helfen den Kunden bei der Reiseplanung.",4.2,6.5,5.5,3.0,4.5,2.5,"Standardauskünfte zu Fahrplänen, Verbindungen und Verspätungen könnten durch KI-Chatbots, digitale Informationsterminals und die SBB-App vollständig übernommen werden; Reiseplanung via automatisierte Systeme ist bereits weit fortgeschritten.",3-5 Jahre,"Die SBB investiert stark in digitale Self-Service-Lösungen (App, Automaten, Chatbots), wodurch Routineauskünfte zunehmend automatisiert werden. Allerdings bleibt die physische Präsenz im Bahnhof für Mobilitätshilfe, Krisenmanagement bei Störungen und den Umgang mit vulnerablen Personengruppen (ältere Reisende, Touristen) unverzichtbar – ein Bereich, in dem die Schweiz mit ihrem hohen Qualitätsanspruch im öffentlichen Verkehr besonders sensibel ist. Der Beruf wird sich voraussichtlich transformieren: weg von Routineauskünften, hin zu komplexer Situationsbewältigung und persönlicher Betreuung.",0.0,-0.2,4.0,4.2,4448ec21aa90,< 60k CHF
Produktionsmitarbeiter/in (Pharma),8211,18.0,42.0,Industrie,68000,Sekundär II,http://data.europa.eu/esco/occupation/d3382c5a-589f-453d-a6d8-d28695057079,Pharmatechnologe/Pharmatechnologin,"Pharmatechnologen kontrollieren und warten die Geräte und Tanks für die Herstellung aktiver und funktioneller Inhaltsstoffe für Arzneimittel, wie Antibiotika oder Vitamine. Sie arbeiten außerdem in der Herstellung von Kosmetika oder Körperpflegemitteln.",4.8,3.5,7.5,3.0,6.5,7.5,"Automatisierung von Überwachungs-, Steuerungs- und Qualitätskontrollprozessen durch KI-gestützte Sensoren, robotische Prozesskontrolle und automatisierte GMP-Dokumentation",5-10 Jahre,"Die Schweizer Pharmaindustrie (Novartis, Roche, Lonza) investiert stark in Industrie 4.0 und kontinuierliche Herstellungsprozesse, was repetitive Überwachungs- und Steuerungsaufgaben zunehmend automatisiert. Gleichzeitig erfordern GMP-Regulatorik, physische Gerätewartung und kontextabhängiges Eingreifen bei Abweichungen weiterhin menschliche Präsenz und Urteilsvermögen. Der Beruf wird sich eher transformieren als vollständig verschwinden – mit höheren Qualifikationsanforderungen in Richtung Systemüberwachung und Dateninterpretation.",-0.1,0.0,4.7,4.3,315adb2376b3,60k–100k CHF
Architekt/in,2161,18.0,38.0,Bau,110000,Tertiär,http://data.europa.eu/esco/occupation/8c3f536e-ba66-4321-ba40-363dc39f129b,Architekt/Architektin,"Architekten/Architektinnen untersuchen, entwerfen und beaufsichtigen den Bau und die Entwicklung von Gebäuden, städtischen Räumen, Infrastrukturprojekten und sozialen Räumen. Bei ihren Entwürfen berücksichtigen sie die Umgebung und die lokal geltenden Rechtsvorschriften sowie verschiedene Faktoren, z. B. Funktionalität, Ästhetik, Kosten, öffentliche Gesundheit und Sicherheit. Sie kennen soziale Kontexte und Umweltfaktoren, zu denen auch die Beziehungen zwischen Menschen und Gebäuden und zwischen Gebäuden und der Umwelt gehören. Sie beteiligen sich an multidisziplinären Projekten, die auf die Entwicklung des sozialen Gefüges eines geografischen Gebiets und die Förderung von Projekten der sozialen Stadtentwicklung ausgerichtet sind. ",4.8,7.5,4.0,4.0,2.5,3.0,"Automatisierung von BIM-Modellierung, Grundrissgenerierung, Bauvorschriften-Compliance-Prüfung (SIA-Normen, kantonale Baugesetze), Kostenkalkulationen und Rendering/Visualisierungen durch generative KI-Tools wie Autodesk AI oder Midjourney-basierte Architekturtools.",3-5 Jahre,"In der Schweiz sind Architekten stark in regulatorische Prozesse eingebunden (kantonale Baubewilligungen, SIA-Normen, Energiestandards wie MINERGIE), die zunehmend durch KI-gestützte Compliance-Tools automatisierbar werden. Kreative Entwurfsprozesse, die soziale und kontextuelle Faktoren wie den Ortsbild-Schutz oder die Integration in gewachsene Quartiere berücksichtigen, bleiben jedoch stark von menschlichem Urteilsvermögen abhängig. Die enge Zusammenarbeit mit Bauherren, Gemeinden und interdisziplinären Teams im Schweizer Kontext – oft mehrsprachig und kulturell sensibel – schützt den Beruf vor vollständiger Automatisierung.",0.0,0.2,5.0,7.3,668eaa727646,100k–150k CHF
IT-Projektleiter/in,2511,18.0,18.0,ICT,130000,Tertiär,http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5,Projektmanager/Projektmanagerin,"Projektmanager/Projektmanagerinnen stellen sicher, dass ein Projekt rechtzeitig und ohne Budgetüberschreitung abgeschlossen wird und die Projektziele erreicht werden. Sie beaufsichtigen das Projekt, leiten das Team, stellen sicher, dass die effizientesten Ressourcen eingesetzt werden, und sorgen dafür, dass alle Beteiligten zufrieden sind.",5.2,8.5,5.0,6.5,4.5,3.0,"Automatisierung von Projektplanung, Ressourcenallokation, Fortschrittsberichten, Risikoanalysen und Statusupdates durch KI-gestützte PM-Tools (z.B. MS Copilot in Project, Asana AI); Routinekoordination und Dokumentation werden stark vereinfacht.",3-5 Jahre,"In der Schweiz, wo IT-Projektleiter/innen oft in komplexen, regulierten Umfeldern (Finanzsektor, Pharmaindustrie, öffentliche Verwaltung) arbeiten, bleiben Stakeholder-Management, Verhandlungen und kulturelle Sensibilität (inkl. Mehrsprachigkeit) schwer automatisierbar. KI wird Routineaufgaben wie Reporting, Zeitplanung und Risikomonitoring übernehmen, während die menschliche Führungsrolle, Konfliktlösung und strategische Entscheidungsfindung vorerst bestehen bleiben. Der Beruf wird sich transformieren: IT-PMs werden zunehmend als KI-Koordinatoren agieren, was höhere Anforderungen an Technologiekompetenz stellt.",-0.2,0.2,5.2,8.6,5adde2f6fb2d,100k–150k CHF
Zimmermann/-frau EFZ,7115,18.0,2.0,Bau,76000,Sekundär II,http://data.europa.eu/esco/occupation/2a22ff9e-de3b-408d-b312-5034896cc4f4,Zimmerer/Zimmerin,"Zimmerer sägen, formen und montieren Holzelemente für Gebäude und andere Bauwerken. Sie verwenden für ihre Arbeit auch Materialien wie Kunststoffe und Metalle. Zimmerer fertigen die Rahmen für nach der Holrahmenbauweise errichtete Häuser.",2.4,1.5,4.5,1.5,3.5,4.0,CNC-gesteuerte Holzbearbeitungsmaschinen und digitale Planungstools (CAD/CAM) könnten Zuschnitt- und Formgebungsprozesse teilweise automatisieren; Aufmassnahme und Materialkalkulation könnten durch KI-gestützte Software unterstützt werden.,>10 Jahre,"Der Zimmermannsberuf erfordert ausgeprägte physische Präsenz auf wechselnden Baustellen, handwerkliches Geschick und situatives Problemlösen in unstrukturierten Umgebungen – Fähigkeiten, die für aktuelle KI und Robotik kaum automatisierbar sind. In der Schweiz ist der Holzrahmenbau (Minergie, nachhaltiges Bauen) stark im Wachstum, was die Nachfrage nach qualifizierten Zimmerleuten eher erhöht als senkt. Digitale Hilfsmittel wie BIM oder Abbundanlagen werden den Beruf zwar transformieren, aber nicht ersetzen.",0.0,0.0,2.4,3.8,713d0cabfd1b,60k–100k CHF
Finanzanalyst/in,2413,18.0,33.0,Finanzen,140000,Tertiär,http://data.europa.eu/esco/occupation/8d586ee9-0ab1-4155-a3b0-2ca786c8e48c,Finanzanalyst/Finanzanalystin,"Finanzanalysten führen wirtschaftliche Recherchen durch und erstellen aussagekräftige Analysen zu Finanzthemen wie Rentabilität, Liquidität, Solvenz und Vermögensverwaltung. Sie geben Empfehlungen zu Finanzfragen ab, um Entscheidungsprozesse zu unterstützen. Finanzanalysten arbeiten sowohl im öffentlichen als auch im privaten Sektor.",7.2,9.5,7.0,8.5,5.5,5.0,"Automatisierte Datenauswertung, Erstellung von Standardberichten (z.B. Earnings-Analysen, Kennzahlenberechnungen), quantitative Modellierung und algorithmisches Screening von Wertpapieren können weitgehend durch KI übernommen werden.",3-5 Jahre,"Im Schweizer Finanzplatz (Zürich, Genf) sind bereits zahlreiche KI-Tools im Einsatz, die Routineanalysen und Reportings automatisieren – grosse Banken wie UBS und CS/UBS-Nachfolger investieren stark in diese Technologien. Die strategische Interpretation von Ergebnissen, das Einbringen von Marktkenntnis sowie die Kundenberatung mit Vertrauenskomponente bleiben vorerst menschlich geprägt. Dennoch dürfte der Anteil automatisierbarer Tätigkeiten bei Standardanalysen mittelfristig erheblich steigen, was vor allem Junior-Positionen unter Druck setzt.",0.3,0.2,7.7,8.9,413a09976733,100k–150k CHF
Polizist/in,3355,18.0,22.0,Öff. Verwaltung,95000,Sekundär II,http://data.europa.eu/esco/occupation/5793c124-c037-47b2-85b6-dd4a705968dc,Polizist/Polizistin,"Polizisten wenden Ermittlungsmethoden an, um Straftaten zu verhüten, Straftäter zu verfolgen und festzunehmen und die Öffentlichkeit vor Gewalttaten und kriminellen Aktivitäten zu schätzen. Sie führen Überwachungs- und Patrouillentätigkeiten durch, um Straftaten zu verhindern und Täter festzunehmen. Sie unterstützen die Opfer von Straftaten und die breite Öffentlichkeit und erfüllen auch Verwaltungsaufgaben.",3.2,5.5,3.5,2.0,3.5,2.0,"Verwaltungsaufgaben (Rapporte, Protokolle), Videoüberwachungsauswertung, Mustererkennung bei Kriminalitätsanalysen und Gesichtserkennung könnten zunehmend automatisiert werden",5-10 Jahre,"Der Polizeiberuf in der Schweiz bleibt wegen seiner starken physischen, sozialen und situativ-adaptiven Komponente weitgehend automatisierungsresistent. KI kann Unterstützungswerkzeuge liefern (z.B. Predictive Policing, wie es Kantonspolizeien bereits pilotieren), ersetzt jedoch nicht das Urteilsvermögen, die Deeskalationskompetenz und die rechtliche Verantwortung von Polizisten. Der hohe Schweizer Datenschutzstandard (nDSG) und föderalistische Polizeistrukturen bremsen zudem die breite KI-Einführung zusätzlich.",0.0,0.0,3.2,5.2,9ccc08851c76,60k–100k CHF
Gymnasiallehrer/in,2330,18.0,46.0,Bildung,120000,Tertiär,http://data.europa.eu/esco/occupation/5efb2c08-ba3a-4659-a2e4-1883f54e77b6,Lehrkraft Sekundarstufe,"Lehrkräfte Sekundarstufe unterrichten Schülerinnen und Schüler, in der Regel Kinder und junge Erwachsene, in einer Schule des Sekundarbereichs. Sie sind in der Regel Fachlehrkräfte, die in dem Fach ihrer Spezialisierung unterrichten. Sie erstellen Unterrichtspläne und -materialien, beobachten die Fortschritte der Schülerinnen und Schüler, bieten bei Bedarf ihre individuelle Hilfestellung und bewerten die Kenntnisse der Schülerinnen und Schüler anhand von Aufgaben, Tests und Prüfungen.",3.4,5.5,4.0,2.5,3.0,1.5,"Erstellung von Unterrichtsmaterialien, Lernplänen und standardisierten Tests sowie automatisiertes Feedback auf schriftliche Arbeiten könnten durch KI-Tools (z.B. adaptive Lernsysteme) teilweise übernommen werden.",5-10 Jahre,"Der Gymnasialunterricht in der Schweiz ist stark auf persönliche Beziehungen, Maturitätsvorbereitung und kritisches Denken ausgerichtet, was eine hohe menschliche Komponente erfordert. Administrative und vorbereitende Tätigkeiten (Korrektur, Materialerstellung) werden zunehmend durch KI unterstützt, ohne den Kernberuf zu ersetzen. Der Schweizer Bildungsföderalismus und kantonale Lehrpläne (z.B. LP21, gymnasiale Maturität) erfordern lokale Anpassungsfähigkeit, die einer vollständigen Automatisierung entgegenwirkt.",-0.2,0.2,3.4,7.6,882da8edb0e7,100k–150k CHF
Physiotherapeut/in,2264,18.0,75.0,Gesundheit,78000,Tertiär,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,Physiotherapeut/Physiotherapeutin,"Physiotherapeuten/Physiotherapeutinnen sind selbstständige Angehörige von Gesundheitsberufen, die auf der Grundlage evidenzbasierter praktischer Erkenntnisse für die Entwicklung, Aufrechterhaltung oder Wiederherstellung motorischer Funktionen und Bewegungen zuständig sind. Sie lindern Schmerzen und behandeln oder verhindern körperliche Leiden im Zusammenhang mit Verletzungen, Krankheiten oder sonstigen Beeinträchtigungen. Physiotherapeuten/Physiotherapeutinnen können Patienten/Patientinnen und ihre Betreuer/Betreuerinnen in die Lage versetzen, die Beschwerden ohne klinische Behandlungsmaßnahmen zu lindern. Sie arbeiten in ihrem Fachgebiet und entsprechend ihrem Verhaltenskodex. ",2.8,3.5,4.0,2.0,3.0,2.0,"Diagnostische Unterstützung und Therapieplanung durch KI-gestützte Bewegungsanalyse-Tools sowie administrative Dokumentation (Befundberichte, Abrechnungen mit Krankenkassen nach KVG/UVG) könnten teilautomatisiert werden.",5-10 Jahre,"Physiotherapie ist stark auf manuelle Behandlung, taktiles Feedback und therapeutische Beziehung angewiesen – Kernkompetenzen, die für KI schwer ersetzbar sind. In der Schweiz unterliegen Physiotherapeuten strengen regulatorischen Anforderungen (SRK-Anerkennung, Tarmed-Abrechnung), was den Transformationsdruck verlangsamt. KI kann als Assistenzsystem bei Bewegungsanalyse oder Heimübungsprogrammen (z.B. via Telerehabilitation) ergänzend wirken, ersetzt aber nicht die physische Präsenz beim Patienten.",-0.3,0.0,2.5,6.0,a6dbc228571f,60k–100k CHF
Coiffeur/Coiffeuse EFZ,5141,18.0,88.0,Dienstleistungen,48000,Sekundär II,http://data.europa.eu/esco/occupation/099c6bb0-22d3-4c5d-8bf5-70910af381ef,Friseur/Friseurin,"Friseure bieten Dienstleistungen im Bereich Schönheitspflege an, beispielsweise das Schneiden, Färben und Frisieren von Haaren oder Dauerwellenbehandlungen. Sie befragen die Kunden zu ihren Frisurwünschen, um sie individuell zu bedienen. Friseure verwenden Haarschneidemaschinen, Scheren und Rasierapparate. Sie bieten Haar- und Kopfhautbehandlungen und behandeln das Haar mit Shampoo, Pflegeprodukten und Spülungen.",1.8,1.0,4.5,1.5,2.5,2.0,"KI-gestützte Beratungstools (z.B. virtuelle Friseursimulationen für Frisurvorschläge) könnten die Beratungsphase teilweise unterstützen, aber keine physischen Tätigkeiten ersetzen",>10 Jahre,"Der Coiffeurberuf erfordert ausgeprägte manuelle Geschicklichkeit, direkten Körperkontakt und eine vertrauensbasierte Kundenbeziehung, die für KI-Automatisierung extrem schwer zugänglich sind. In der Schweiz ist der Beruf zudem durch das EFZ-System stark reguliert und zeichnet sich durch hohe handwerkliche Qualitätsansprüche aus. Allenfalls könnten digitale Tools wie KI-Stilberatungs-Apps die Beratungsphase ergänzen, ohne jedoch den Kernberuf wesentlich zu gefährden.",0.0,-0.2,1.6,3.3,25ffed9ac722,< 60k CHF
Unternehmensberater/in,2421,18.0,35.0,Beratung,140000,Tertiär,http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97,Unternehmensberater/Unternehmensberaterin,"Unternehmensberater analysieren die Lage, die Struktur und die Prozesse von Unternehmen und bieten Dienste oder Beratung zu deren Verbesserung an. Sie stellen fest, ob die Geschäftsprozesse z. B. im Hinblick auf die finanzielle Effizienz oder die Mitarbeiterführung Mängel aufweisen, und entwickeln strategische Pläne, um diese Schwierigkeiten zu überwinden. Sie arbeiten in externen Beratungsunternehmen, um eine objektive Sicht auf die Geschäftstätigkeit und die Struktur eines Unternehmens und seine methodischen Prozesse zu bieten.",5.2,8.0,4.5,6.5,3.5,2.5,"Datenanalyse, Benchmarking, Marktanalysen, Erstellung von Standardberichten und Präsentationen sowie strukturierte Prozessoptimierungen können zunehmend durch KI-Tools automatisiert werden",3-5 Jahre,"Im Schweizer Kontext, wo Unternehmensberatung stark auf Vertrauen, Diskretion und langjährige Kundenbeziehungen basiert, bleibt der menschliche Faktor ein zentrales Differenzierungsmerkmal. KI wird vor allem die analytischen und dokumentationsintensiven Phasen des Beratungsprozesses übernehmen, während strategische Entscheidungsfindung und Change-Management-Begleitung weiterhin menschliche Expertise erfordern. Besonders bei KMU-Beratungen, die in der Schweiz einen Grossteil des Marktes ausmachen, ist der persönliche Vertrauensaufbau kaum durch KI substituierbar.",0.0,0.2,5.4,8.2,5f5b9552abb3,100k–150k CHF
